stx_ident,count
stx/stx/2017-04-16 17_00_00.npz,1
stx/stx/2017-08-15 15_30_00.npz,5
stx/stx/2017-07-17 22_30_00.npz,2
stx/stx/2017-07-26 23_30_00.npz,5
stx/stx/2017-03-25 00_30_00.npz,3
stx/stx/2017-04-16 15_00_00.npz,5
stx/stx/2017-06-19 17_30_00.npz,2
stx/stx/2017-08-08 20_30_00.npz,5
stx/stx/2017-01-02 17_00_00.npz,7
stx/stx/2017-03-29 03_30_00.npz,3
stx/stx/2017-03-07 20_00_00.npz,8
stx/stx/2017-03-29 17_30_00.npz,1
stx/stx/2017-07-24 18_00_00.npz,1
stx/stx/2017-11-08 14_30_00.npz,8
stx/stx/2017-08-04 20_30_00.npz,5
stx/stx/2017-05-04 02_30_00.npz,6
stx/stx/2017-07-08 23_30_00.npz,1
stx/stx/2017-01-17 17_30_00.npz,4
stx/stx/2017-09-17 21_00_00.npz,9
stx/stx/2017-05-09 17_00_00.npz,3
stx/stx/2017-07-17 22_00_00.npz,6
stx/stx/2017-07-30 10_30_00.npz,1
stx/stx/2017-06-04 17_30_00.npz,2
stx/stx/2017-08-08 22_00_00.npz,18
stx/stx/2017-11-01 02_30_00.npz,1
stx/stx/2017-12-04 06_30_00.npz,1
stx/stx/2017-10-31 16_30_00.npz,4
stx/stx/2017-07-10 16_00_00.npz,5
stx/stx/2017-06-22 22_00_00.npz,9
stx/stx/2017-08-02 03_00_00.npz,1
stx/stx/2017-10-10 12_00_00.npz,20
stx/stx/2017-05-03 16_30_00.npz,2
stx/stx/2017-07-01 01_00_00.npz,3
stx/stx/2017-11-08 15_00_00.npz,16
stx/stx/2017-08-23 00_00_00.npz,6
stx/stx/2017-05-22 14_00_00.npz,14
stx/stx/2017-12-05 15_30_00.npz,5
stx/stx/2017-01-14 21_00_00.npz,19
stx/stx/2017-09-18 00_30_00.npz,3
stx/stx/2017-01-22 10_00_00.npz,2
stx/stx/2017-10-20 13_30_00.npz,6
stx/stx/2017-09-27 11_00_00.npz,2
stx/stx/2017-07-09 04_30_00.npz,2
stx/stx/2017-05-22 20_00_00.npz,9
stx/stx/2017-08-06 16_30_00.npz,1
stx/stx/2017-08-11 17_00_00.npz,3
stx/stx/2017-04-26 22_30_00.npz,12
stx/stx/2017-05-23 09_30_00.npz,5
stx/stx/2017-07-08 22_30_00.npz,1
stx/stx/2017-07-23 17_30_00.npz,4
stx/stx/2017-03-29 15_30_00.npz,10
stx/stx/2017-07-05 10_00_00.npz,1
stx/stx/2017-07-08 19_30_00.npz,6
stx/stx/2017-03-25 12_30_00.npz,4
stx/stx/2017-02-27 17_00_00.npz,4
stx/stx/2017-04-30 05_00_00.npz,2
stx/stx/2017-04-11 12_00_00.npz,19
stx/stx/2017-07-01 04_00_00.npz,5
stx/stx/2017-07-15 14_30_00.npz,2
stx/stx/2017-03-29 13_30_00.npz,6
stx/stx/2017-04-17 11_30_00.npz,7
stx/stx/2017-04-11 11_00_00.npz,2
stx/stx/2017-12-03 21_30_00.npz,4
stx/stx/2017-07-11 19_00_00.npz,5
stx/stx/2017-02-28 00_00_00.npz,4
stx/stx/2017-12-04 23_00_00.npz,7
stx/stx/2017-09-18 03_00_00.npz,1
stx/stx/2017-06-05 12_00_00.npz,7
stx/stx/2017-07-30 11_30_00.npz,3
stx/stx/2017-04-18 18_00_00.npz,3
stx/stx/2017-02-27 16_00_00.npz,1
stx/stx/2017-08-23 06_30_00.npz,1
stx/stx/2017-11-29 11_00_00.npz,2
stx/stx/2017-05-19 22_00_00.npz,14
stx/stx/2017-08-12 17_30_00.npz,1
stx/stx/2017-05-19 10_30_00.npz,3
stx/stx/2017-04-02 16_00_00.npz,16
stx/stx/2017-05-22 04_30_00.npz,1
stx/stx/2017-10-10 04_00_00.npz,2
stx/stx/2017-08-31 00_00_00.npz,1
stx/stx/2017-06-09 23_30_00.npz,5
stx/stx/2017-07-31 02_00_00.npz,1
stx/stx/2017-09-24 21_00_00.npz,5
stx/stx/2017-03-05 22_00_00.npz,7
stx/stx/2017-10-22 06_00_00.npz,1
stx/stx/2017-07-11 20_00_00.npz,8
stx/stx/2017-08-29 21_30_00.npz,20
stx/stx/2017-08-01 14_30_00.npz,2
stx/stx/2017-04-02 10_30_00.npz,7
stx/stx/2017-06-24 16_00_00.npz,16
stx/stx/2017-05-28 09_00_00.npz,3
stx/stx/2017-02-20 15_00_00.npz,3
stx/stx/2017-07-01 18_00_00.npz,1
stx/stx/2017-08-06 10_00_00.npz,1
stx/stx/2017-05-22 23_30_00.npz,3
stx/stx/2017-10-20 00_00_00.npz,1
stx/stx/2017-12-18 22_00_00.npz,7
stx/stx/2017-03-12 01_30_00.npz,5
stx/stx/2017-05-21 12_30_00.npz,7
stx/stx/2017-07-24 19_00_00.npz,1
stx/stx/2017-07-05 09_30_00.npz,1
stx/stx/2017-08-31 03_30_00.npz,4
stx/stx/2017-07-09 01_00_00.npz,4
stx/stx/2017-08-11 14_30_00.npz,5
stx/stx/2017-07-21 20_00_00.npz,6
stx/stx/2017-06-19 15_30_00.npz,1
stx/stx/2017-07-23 15_30_00.npz,4
stx/stx/2017-06-25 03_00_00.npz,2
stx/stx/2017-01-14 17_00_00.npz,8
stx/stx/2017-08-16 19_00_00.npz,1
stx/stx/2017-12-05 10_00_00.npz,3
stx/stx/2017-07-05 03_00_00.npz,4
stx/stx/2017-02-13 20_30_00.npz,15
stx/stx/2017-01-15 16_30_00.npz,1
stx/stx/2017-12-04 21_00_00.npz,4
stx/stx/2017-08-09 07_00_00.npz,1
stx/stx/2017-12-05 06_00_00.npz,4
stx/stx/2017-06-19 04_30_00.npz,2
stx/stx/2017-06-22 12_00_00.npz,19
stx/stx/2017-12-17 05_00_00.npz,2
stx/stx/2017-09-19 23_00_00.npz,2
stx/stx/2017-06-02 15_00_00.npz,2
stx/stx/2017-07-01 13_30_00.npz,2
stx/stx/2017-05-09 18_30_00.npz,4
stx/stx/2017-04-11 04_30_00.npz,3
